"beer_receipts","cover_charge_receipts","inside_outside_city_limits_code_y_n","liquor_receipts","location_address","location_city","location_county","location_name","location_number","location_state","location_zip","obligation_end_date_yyyymmdd","responsibility_begin_date_yyyymmdd","responsibility_end_date_yyyymmdd","tabc_permit_number","taxpayer_address","taxpayer_city","taxpayer_county","taxpayer_name","taxpayer_number","taxpayer_state","taxpayer_zip","total_receipts","wine_receipts"
"48026","0","MB746923","21521","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-04-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","70926","1379"
"69408","0","MB746923","23014","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-09-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","94919","2497"
"62932","0","MB536413","22433","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-10-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","87615","2250"
"51658","0","MB746923","23490","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-11-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","78089","2941"
"39360","0","MB746923","18998","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-12-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","59686","1328"
"48078","0","MB536413","18443","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-04-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","68549","2028"
"28375","0","MB746923","13669","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-05-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","43221","1177"
"52944","0","MB746923","21669","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-03-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","76177","1564"
"44630","0","MB746923","14825","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-06-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","60816","1361"
"55830","0","MB746923","22770","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-10-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","80864","2264"
"50498","0","MB746923","17441","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-06-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","68934","995"
"31604","0","MB536413","13372","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-02-28T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","46617","1641"
